男歌手,#geren#
gai周延,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/gaizhouyan.m3u8
张北北,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhangbeibei.m3u8
钟棋煜 (渡),https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhongqiyu (du).m3u8
王茗,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/wangming.m3u8
后弦,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/houxian.m3u8
张卫健,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhangweijian.m3u8
许志安,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/xuzhian.m3u8
蒋大为,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/jiangdawei.m3u8
曹雨航,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/caoyuhang.m3u8
张俊波,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhangjunbo.m3u8
隔壁老樊,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/gebilaofan.m3u8
capper,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/capper.m3u8
liu 9,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/liu 9.m3u8
夏天alex,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/xiatianalex.m3u8
乔洋,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/qiaoyang.m3u8
王悦辰,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/wangyuechen.m3u8
张津涤,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhangjindi.m3u8
海生,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/haisheng.m3u8
杨坤,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/yangkun.m3u8
秦海清,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/qinhaiqing.m3u8
文武贝,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/wenwubei.m3u8
刘欢,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/liuhuan.m3u8
文夫,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/wenfu.m3u8
刘嘉亮,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/liujialiang.m3u8
简弘亦,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/jianhongyi.m3u8
付飞社,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/fufeishe.m3u8
暴林,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/baolin.m3u8
那奇沃夫,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/naqiwofu.m3u8
王强,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/wangqiang.m3u8
li敖,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/liao.m3u8
雪十郎,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/xueshilang.m3u8
前男友,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/qiannanyou.m3u8
肖战,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/xiaozhan.m3u8
欧阳尚尚,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/ouyangshangshang.m3u8
檀健次,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/tanjianci.m3u8
玮一,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/weiyi.m3u8
曹越,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/caoyue.m3u8
庞龙,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/panglong.m3u8
